,0
0,0.0005450735243000271
1,0.00177010921562884
2,0.0010244098578097716
3,0.0021090281417283085
4,0.0009162709855631279
5,0.0025484443517960753
6,0.002363212477319604
7,0.0021810426139516337
8,0.001313510719008787
9,0.0025145751266640037
10,0.0020622772094096853
11,0.0013694375233696265
12,0.0020994477782846355
13,0.0019717691317889807
14,0.0022861348045113417
15,0.0025994704894380383
16,0.0011479479272346604
17,0.004552147316757432
18,0.0025280165793928333
19,0.0018516598012991436
20,0.003450240151976064
21,-0.0008562059840416525
22,0.0003311157139206655
23,0.0011260830274009703
24,-0.001023677370453363
25,-0.0014686897759911832
26,-0.0008866517550391861
27,0.0010038115485091481
28,0.0004514647853628151
29,0.00037188768188128885
30,0.0008898765333382741
31,-0.0005299570581183966
32,0.00027626112909498457
33,-0.00029600709222923904
34,0.0010537627833838992
35,0.0004296516719080601
36,-8.069890447884309e-05
37,-0.00016360470900411705
38,0.000532391344583466
39,0.00022380799030705112
40,-0.000415153189070816
41,0.0008176363079680782
42,0.00037184092364594967
43,-1.8144015257459678e-06
44,0.0016346070693866455
45,0.00015601638871545753
