,0
0,0.008500623516738422
1,-0.008647399768233296
2,-6.449390202760419e-05
3,-0.011834972677752374
4,-0.010165772261098022
5,-0.006197975017130368
6,-0.007228498719632624
7,-0.003097497299313544
8,0.010815781913697725
9,0.022811386547982697
10,-0.004708765633404249
11,-0.003979207575321192
12,0.004022553749382499
13,0.02487122919410468
14,-0.006418324448168276
15,-0.006265495717525479
16,-0.005076189339160916
17,0.014066863991320143
18,0.023398031480610378
19,0.003472860343754297
20,0.0005163382738828728
21,0.0002149257808923763
22,0.0008020529523491901
23,-0.007716402318328618
