,0,1,class
CC(C)(C)C(=S)c1ccc(F)cc1,2.032654,-4.7746024,0
COc1ccc(C(=S)C(C)(C)C)cc1,1.2806615,-4.216523,0
COc1ccc(C(=S)c2ccc(OC)cc2)cc1,0.87508905,-3.5096314,0
CN(C)CCCOc1cc(=O)sc2ccccc12,5.6509447,-4.378269,1
CN(C)CCCOc1cc(=O)sc2ccccc12,5.652319,-4.377238,1
c1ccc2c(c1)c1ccccc1c1ccccc21,3.8579252,-2.0128675,1
O=C(O)CCc1c2ccc(=O)c(I)c-2oc2c(I)c(O)ccc12,3.677372,9.823725,3
O=C(O)CCc1c2cc(Br)c(=O)c(Br)c-2oc2c(Br)c(O)c(Br)cc12,3.908609,7.9698305,3
O=C(O)CCc1c2cc(I)c(=O)c(I)c-2oc2c(I)c(O)c(I)cc12,4.4829664,9.781887,3
O=C(O)CCc1c2cc(I)c(=O)c(I)c-2oc2c(I)c(O)ccc12,4.011678,9.817932,3
O=c1c(I)cc2c(-c3cc(Cl)c(Cl)c(Cl)c3Cl)c3cc(I)c(O)c(I)c3oc-2c1I,6.116319,9.975732,3
O=c1c(I)cc2c(-c3cc(Cl)c(Cl)c(Cl)c3Cl)c3cc(I)c(O)c(I)c3oc-2c1I,6.116382,9.975279,3
CCN(CC)c1ccc2nc3c4ccccc4c(=[NH2+])cc-3sc2c1,5.974749,-10.937554,4
CCN(CC)c1ccc2nc3c4ccccc4c(=[NH2+])c(I)c-3sc2c1,6.6641726,-9.80791,4
CCN(CC)c1ccc2nc3c4ccccc4c(=[NH+]Cc4ccccc4)cc-3sc2c1,6.571419,-12.876605,4
CCN(CC)c1ccc2nc3c4ccccc4c(=[NH2+])c(Br)c-3oc2c1,8.286511,-9.232086,4
CCNc1ccc2nc3c4ccccc4c(=[NH2+])c(Br)c-3oc2c1Br,7.439707,-6.8287115,4
CCN(CC)c1ccc2nc3c4ccccc4c(=[NH2+])cc-3oc2c1,8.9895735,-10.765192,4
CCN(CC)c1ccc2nc3c4cc(I)ccc4c(=[NH2+])c(I)c-3oc2c1,10.1173,-9.279477,4
CCNc1ccc2nc3c4ccccc4c(=[NH2+])c(I)c-3oc2c1I,8.483972,-6.8076468,4
CCN(CC)c1ccc2nc3c4ccccc4c(=[NH2+])c(I)c-3oc2c1,9.184356,-9.098009,4
CCN1C(=CC=C2CCC(C=Cc3sc4ccc(Cl)cc4[n+]3CC)=C2N(c2ccccc2)c2ccccc2)Sc2ccc(Cl)cc21,8.912524,-1.4440722,5
